0.696	0.511	0.432	0.587	0.711	0.747	0.704	0.323	0.307	0.417
0.531	0.835	0.467	0.862	0.757	0.732	0.036	0.187	0.753	0.288
0.935	0.420	0.444	0.612	0.337	0.786	0.124	0.144	0.828	0.137
0.693	0.965	0.516	0.570	0.226	0.875	0.746	0.240	0.654	0.747
0.943	0.624	0.499	0.830	0.185	0.893	0.061	0.269	0.240	0.356
0.374	0.515	0.488	0.672	0.521	0.244	0.007	0.277	0.885	0.044
0.246	0.104	0.707	0.685	0.439	0.881	0.425	0.657	0.265	0.693
0.844	0.856	0.125	0.914	0.713	0.366	0.796	0.173	0.173	0.945
0.587	0.311	0.440	0.790	0.015	0.759	0.261	0.418	0.018	0.079
0.168	0.844	0.561	0.546	0.391	0.665	0.736	0.785	0.361	0.452
